game_date,game_pk,team_game_number,at_bat_number,player_name,events,hit_distance_sc,distance_ft,venue_name,launch_speed,launch_angle,pitch_type,release_speed,home_team,away_team,inning,inning_topbot
2025-03-31,778496,5,85,"Raleigh, Cal",home_run,358.0,358.0,T-Mobile Park,106.3,40.0,SI,91.5,SEA,DET,9,Bot
2025-04-06,778427,10,19,"Raleigh, Cal",home_run,347.0,347.0,Oracle Park,97.6,28.0,SI,95.1,SF,SEA,3,Top
2025-04-11,778360,14,64,"Raleigh, Cal",home_run,399.0,399.0,T-Mobile Park,109.7,27.0,FC,90.2,SEA,TEX,8,Bot
2025-04-12,778341,15,42,"Raleigh, Cal",home_run,420.0,420.0,T-Mobile Park,108.7,28.0,SI,92.3,SEA,TEX,5,Bot
2025-04-13,778334,16,8,"Raleigh, Cal",home_run,351.0,351.0,T-Mobile Park,99.2,29.0,FS,86.0,SEA,TEX,1,Bot
2025-04-16,778304,18,35,"Raleigh, Cal",home_run,412.0,412.0,Great American Ball Park,104.1,32.0,FC,87.5,CIN,SEA,5,Top
2025-04-16,778304,18,52,"Raleigh, Cal",home_run,350.0,350.0,Great American Ball Park,104.0,39.0,ST,79.8,CIN,SEA,7,Top
2025-04-17,778285,19,78,"Raleigh, Cal",home_run,422.0,422.0,Great American Ball Park,110.5,33.0,FF,93.9,CIN,SEA,9,Top
2025-04-20,778241,22,3,"Raleigh, Cal",home_run,398.0,398.0,Rogers Centre,110.7,28.0,SL,86.4,TOR,SEA,1,Top
2025-04-27,778136,28,7,"Raleigh, Cal",home_run,368.0,368.0,T-Mobile Park,101.2,35.0,FF,95.5,SEA,MIA,1,Bot
2025-05-02,778083,31,22,"Raleigh, Cal",home_run,432.0,432.0,Globe Life Field,110.7,33.0,SL,86.9,TEX,SEA,4,Top
2025-05-02,778083,31,34,"Raleigh, Cal",home_run,387.0,387.0,Globe Life Field,104.8,30.0,CU,83.3,TEX,SEA,5,Top
2025-05-12,777941,40,71,"Raleigh, Cal",home_run,420.0,420.0,T-Mobile Park,106.0,26.0,FF,89.8,SEA,NYY,8,Bot
2025-05-16,777896,43,43,"Raleigh, Cal",home_run,363.0,363.0,Petco Park,101.0,34.0,FF,93.5,SD,SEA,6,Top
2025-05-17,777875,44,48,"Raleigh, Cal",home_run,399.0,399.0,Petco Park,109.6,41.0,FC,93.2,SD,SEA,7,Top
2025-05-21,777830,48,43,"Raleigh, Cal",home_run,352.0,352.0,Rate Field,100.3,25.0,CH,83.4,CWS,SEA,6,Top
2025-05-23,777800,50,59,"Raleigh, Cal",home_run,369.0,369.0,Daikin Park,111.8,41.0,SL,88.3,HOU,SEA,7,Top
2025-05-27,777743,53,6,"Raleigh, Cal",home_run,389.0,389.0,T-Mobile Park,112.1,40.0,FF,93.1,SEA,WSH,1,Bot
2025-05-27,777743,53,37,"Raleigh, Cal",home_run,365.0,365.0,T-Mobile Park,107.3,22.0,FS,87.2,SEA,WSH,5,Bot
2025-05-30,777713,56,8,"Raleigh, Cal",home_run,356.0,356.0,T-Mobile Park,102.9,26.0,FC,92.5,SEA,MIN,1,Bot
2025-05-30,777713,56,63,"Raleigh, Cal",home_run,383.0,383.0,T-Mobile Park,113.2,25.0,FF,94.8,SEA,MIN,8,Bot
2025-05-31,777695,57,26,"Raleigh, Cal",home_run,383.0,383.0,T-Mobile Park,99.2,34.0,FF,89.4,SEA,MIN,3,Bot
2025-06-01,777680,58,49,"Raleigh, Cal",home_run,362.0,362.0,T-Mobile Park,106.9,28.0,CU,78.6,SEA,MIN,7,Bot
2025-06-05,777628,61,40,"Raleigh, Cal",home_run,337.0,337.0,T-Mobile Park,99.9,42.0,FC,88.4,SEA,BAL,5,Bot
2025-06-07,777603,63,4,"Raleigh, Cal",home_run,372.0,372.0,Angel Stadium,99.0,37.0,SI,96.8,LAA,SEA,1,Top
2025-06-07,777603,63,82,"Raleigh, Cal",home_run,427.0,427.0,Angel Stadium,105.9,27.0,SI,93.4,LAA,SEA,9,Top
2025-06-17,777473,72,19,"Raleigh, Cal",home_run,370.0,370.0,T-Mobile Park,106.0,43.0,CH,90.9,SEA,BOS,2,Bot
2025-06-20,777436,74,3,"Raleigh, Cal",home_run,381.0,381.0,Wrigley Field,98.4,24.0,FF,94.6,CHC,SEA,1,Top
2025-06-20,777436,74,55,"Raleigh, Cal",home_run,419.0,419.0,Wrigley Field,106.3,27.0,FF,94.2,CHC,SEA,7,Top
2025-06-21,777419,75,78,"Raleigh, Cal",home_run,363.0,363.0,Wrigley Field,97.9,41.0,FF,99.4,CHC,SEA,9,Top
2025-06-22,777403,76,3,"Raleigh, Cal",home_run,440.0,440.0,Wrigley Field,105.0,36.0,FF,93.8,CHC,SEA,1,Top
2025-06-23,777388,77,72,"Raleigh, Cal",home_run,379.0,379.0,Target Field,100.6,33.0,CH,86.3,MIN,SEA,9,Top
2025-06-30,777297,84,54,"Raleigh, Cal",home_run,393.0,393.0,T-Mobile Park,103.1,31.0,KC,82.5,SEA,KC,7,Bot
2025-07-04,777236,88,8,"Raleigh, Cal",home_run,440.0,440.0,T-Mobile Park,114.7,31.0,FF,92.0,SEA,PIT,1,Bot
2025-07-04,777236,88,44,"Raleigh, Cal",home_run,381.0,381.0,T-Mobile Park,104.9,37.0,FF,93.4,SEA,PIT,6,Bot
